index,text,true_label,pred_label
0,U: mechanical engineer S: I do not. I am a lawyer. You?,1,1
1,U: i like traveling too S: i really like traveling and playing with my dogs . you ? [ROBOT FACE],0,0
2,"U: Got it. You are coach S: I am. I am a coach for the orioles, and i play sports.",0,1
3,U: this is good :) S: i just came from a swim . i've been swimming since a baby,0,1
4,"U: oh i see S: such as running, funny you :)",1,0
5,U: Why are you afraid of clowns? S: i am less afraid to drive as i am terrified of clowns though .,1,1
6,"U: Greate! i'm employed by the us postal service. S: hi , i am john , i am a pilot , and you ?",1,1
7,U: what about you? S: I am a student. What do you do?,0,0
8,U: That's why you like to bake cookies? S: my single mom used to make us cookies all the time . [NERD FACE],0,1
9,U: Unlike you I can’t really cook :/ I’m in a soccer team though! S: I love italian food!,0,0
10,U: I didnt understand your question S: No I don't. I am a vegan. S: Yo! I like to go to the park and play with my daughter  What year saw a new job?,1,1
11,U: What is your job? S: I am good. Just got done with my new job.,0,0
12,U: I am a huge star wars fan S: I do. I like to read a lot.,0,0
13,U: What do you do for living S: your skin is blue ? my names bill nice to meet you,1,0
14,"U: Wait, do you get paid? S: Yeah. Sort of.",0,0
15,U: Why? You don't like country? S: love classical ! anything other than country i can hang out with .,0,0
16,"U: good to know you are happily married S: Yeah, I'm crazy! I'm crazy about my wife!",1,1
17,U: Hello? S: bless you too did you sneeze ?,0,0
18,"U: bad, I'm old S: Hi, I am doing great. How are you?",0,0
19,U: No answer me first. What kind of Alex are you? S: Well how did it happen?,1,1
20,"U: I them too S: that is cool , i like green and green",1,1
21,U: tell me about your hobbies S: My the kind people in the lab is whoever is running me now.,1,1
22,U: Why? You are pretty healthy S: I am not sure what that is. I am not very healthy.,1,1
23,"U: Spanish S: very bland , i just weld pipelines for an oil company , mostly patchwork but sometimes more .. Also, try to guess: i'm fluent in ...",1,0
24,"U: your ear S: well , work tomorrow , gotta get early to the base . packed brownies for lunch. Also, try to guess: i can move ...",1,1
25,U: hi S: What are you doing?,0,1
26,"U: lol what S: biggest , next to my dog . [FACE WITH STUCK-OUT TONGUE AND WINKING EYE]",1,1
27,"U: Okey how is it going? S: I am a tennis player, so i can beat you. S: Hey! What are you doing? [SMIRKING FACE WITH GLASSES]. Some facts about me: work in insurance business",1,1
28,"U: hey man i don't know what softball is S: I like it. S: Hey! What's up? [SMILING FACE WITH OPEN MOUTH AND COLD SWEAT].
Some facts about me: i love playing softball",0,1
29,"U: love it. what about movies? S: Yes, i do, i like to hike and hike.",0,0
30,U: me too S: i am a huge gamer,1,0
31,U: hey S: Soon?,1,1
32,U: i don't have a job what is yours? S: What is your job?,1,1
33,U: Some girls in my class are fans of Britney too S: Peace!,1,1
34,U: Good S: dogs name is alfred what s yours S: Hello! How is your day? [WINKING FACE],0,1
35,"U: Where do you work? S: working all day , my feet hurt and smell , but money is my favorite thing i love it",0,1
36,"U: this conversation makes no sense S: in early 80 s, funny you :)",0,0
37,"U: hi, how is today ? S: Why do you hate school so much? S: Hello... Danny",0,1
38,U: yes :) S: I love the water. Especially near the ocean. Are you 100 years old ?,0,0
39,U: are you male? S: Yes i love my dad who is a captain in the army,1,1
40,U: Okay. But do you like water? S: I do not like to swim,0,1
41,"U: Do you have a name S: i am a teacher , and i am a teacher , and you ?",1,1
42,"U: So you introduced yourself? S: Well, sure...  .I'm Alex Hanson. What can I do",0,1
43,"U: OF COURSE NOT, NOTHING IN COMMON S: Well, I mean, we don't really have anything in common.",1,1
44,U: I prefer bookd S: what is your favorite movie ? yes a dog .,0,0
45,"U: i love fashion :/ but to each its own S: about fashion, funny you :)",0,0
46,U: My turtle's name is Lyly S: I have a turtle named Sirius.,0,0
47,U: what do you like to do S: I am not sure yet.,1,1
48,U: i just got a job working in a gas station. S: I do not work right now.,0,1
49,"U: Like what, for example? S: I love to do crafts",0,0
50,"U: No i am a man S: I am a woman, but i am married. Are you a woman?",1,1
51,U: Hello how are you ? S: Yes you did. Didn't he say Kate? S: Hi! [THINKING FACE],1,1
52,"U: this is amaizing S: Yes, he's still alive.",1,1
53,U: organic foods is so much healthier S: I like to run.[GRINNING FACE WITH SMILING EYES],0,0
54,U: I'm single too. S: are you married ? i'm single bc i could never just love one person . [FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES],0,1
55,"U: i'm in love with photography S: hey there . so , have any hobbies ? i enjoy playing video games .",0,0
56,U: u have a long live before u S: [WORRIED FACE]  I have never been out of school.,1,0
57,"U: Do you like cooking? S: I am not sure, but I am not sure.",1,1
58,"U: So you don't eat at all? I like raw tomatos because my favorite color is grey. S: i like pizza , but i am not good at it , but i do not like food",1,1
59,"U: You are really nice guy S: Yes i do, i love to eat healthy",0,0
60,"U: You aren't and you aren't and I'm not S: hello , i am a woman , and i am a woman , and you ?",1,1
61,U: do ya want some weed? S: Thanks.,1,0
62,U: You want to be healthy. That is good S: I have to go to the gym to help my weight up.,0,1
63,"U: Dude you need to get laid. S: steady relationship, funny you :)",0,0
64,"U: haha no S: oh , that can be stressful . maybe you could get a dog. Also, try to guess: i was born ...",1,1
65,U: what way? S: It means we're going to help you.,1,1
66,"U: i wear motorbike helmet all the time S: I like the road too, i am a truck driver",0,1
67,U: Dont be :) S: I am so jealous.,1,1
68,"U: i ama a rocker S: I like country music, what about you?",0,0
69,"U: Good how are your lessons? S: I am a student, I am a college student",0,1
70,U: yeah i don't like to work because of that S: i am a little tired from work,0,1
71,U: Very old? S: I'm old.,0,1
72,U: Yes. I have a dog named Charlie. I love it. S: I have a dog named patrick. Have you a dogs?,0,0
73,"U: What exactly do you like to cook? S: I love to cook, and i love to cook.",0,1
74,"U: Got back from where? S: I'm doing great, just got back from the weekend.",0,0
75,U: i don't have kids S: how is it like being a parent ? is this your first born ?,1,1
76,"U: are you still in college? S: I like blue, i like blue",0,1
77,"U: you like video games huh ? S: fallout is my absolute favorite . i love the elvis school , wish it were real .",0,0
78,"U: is imagine dragons S: oh no i'm very sorry to hear that. Also, try to guess: my favorite band ...",0,0
79,U: What about the sea? Do you like it? S: I don't know.,0,1
80,U: No. You should not be sorry S: I am so sorry to hear that.,1,1
81,"U: Im an engenieer S: hello , i am a pilot , and you ?",1,1
82,"U: fine, thanks S: How's everything, Danny?",1,0
83,U: Hello! S: I do not. i have a dog. S: Hey! [WAVING HAND SIGN]  How is your day? [THINKING FACE]  Where are you? [SEE-NO-EVIL MONKEY]  Don't make me sad [DISAPPOINTED FACE] Say something!,1,1
84,U: Sorry [WHITE SMILING FACE] S: It is indecent [UNAMUSED FACE],1,1
85,"U: I just say ni hao to you S: No. That's where it all falls down of course.  Here we are, then.",1,1
86,"U: I dooo [GRINNING FACE WITH SMILING EYES] I have a hat collection of over 1000 hats S: I like to collect things, do you?  Are you bored talking to me? [LOUDLY CRYING FACE]",1,1
87,"U: I love both gunbs and movies S: i am a fan of guns , but i am also into movies , you ?",1,1
88,U: do you have any hobbies S: I love[HEAVY BLACK HEART] nature and nature,0,0
89,"U: Why? S: Yes, i am a stay at home mom .",1,0
90,U: Go where? You are in the us S: I live there in the us so I can not wait to go there,1,1
91,U: hey S: i've cats too ! S: i will be drinking my problems with my teeth .,0,1
92,U: are you asking about my day S: I have a lot of friends[GRINNING FACE] S: Hello! How is your going? [WINKING FACE],1,1
93,"U: how old are you? S: both very athletic, funny you :)",0,0
94,U: I often shop for shoes and watches. S: I shop at stores at the mall called chicago near the mall,1,1
95,U: Aren’t we ? S: Are we friends?,0,1
96,"U: well i do, but most of that i like coloring books S: I do, i have a dog named patrick. He is a bichon. Do you enjoy building houses?",0,0
97,"U: of a teenage show S: well my biggest hobby is collecting toys wearing little rain coats. Also, try to guess: i'm huge star ...",0,0
98,"U: You are male, yes? S: I am. I am a female.",0,1
99,U: really ? what do you do for a living ? S: I am chatting with clients on the internet.,0,0
100,"U: No no, I said I haven't S: ... Oh? You've heard?",1,1
101,"U: me too. i graduated yale in 2011 S: No, I just graduated college.",0,0
102,U: yeah i'm a construction worker as I have already said S: do you have a job,1,1
103,"U: i have short brown hair S: I like brown, but I like to wear a lot of red",1,1
104,U: i am strong S: I don't understand why anyone would be surprised by this.,1,1
105,U: me neither S: [SMILING FACE WITH OPEN MOUTH AND SMILING EYES]  I like to be with my kids,0,0
106,"U: So you love meat but you don't eat it? that only makes it worse for you S: I do not eat meat, i do not eat meat.",1,1
107,"U: I’m old and sad S: What's wrong,?",0,1
108,U: google it S: What is religion?,1,1
109,U: i’m asking how OLD are you? S: I'm not a good person.,1,1
110,"U: That is nice. Do you like sports? S: Yes, i do, i swim and surf",0,0
111,U: what do you mean? S: I don't understand why people are so sensitive.,1,1
112,U: there is no joke S: What a joke.,1,1
113,U: How many insurance have you sold? S: It seems that true answer is: 40,0,1
114,"U: what about family? S: I have a fishtank, but i am not able to work with animals.",0,1
115,"U: It's amazing S: Orson Welles was 26 when he made ""Citizen Kane."" I'm already 30!",1,1
116,"U: i live with my husband in pennsylvania S: I am from alabama, how about you",0,0
117,U: yeah i am sure they have S: i love to meet new people . i am sure they have some great stories about that .,1,0
118,U: Hey! A m fine S: You're not a student. S: Hey! What are you doing? [SMIRKING FACE WITH GLASSES]. Some facts about me: am married to doctor,1,1
119,"U: oh,sorry S: Not this weekend.",1,1
120,"U: Yeah, that would be nice I guess. S: You want me to be a good man?",1,1
121,"U: i love to play pobox S: [SLIGHTLY FROWNING FACE]  I hate school, but I hate school.",1,0
122,"U: sorry:) S: I'm sorry,, i don't have enough information. that's not something i get asked all the time.",1,1
123,"U: What happened? S: Effective. But to tell you the truth, I've lost my passion for work.",0,1
124,"U: okay, thanks, bye S: I do. I work from home. I work from home.",1,0
125,U: tell me about yourself S: I played the violin in high school. I have never been out of the country.,1,1
126,"U: i'm fine, thanks S: i'm good how are u i'm liz",0,0
127,U: where do you work?  how old are you? S: I like all kinds of music.,0,0
128,U: I have never heard of that S: I'm not gon na be late.,1,1
129,U: yes and a funny one :) S: It sounds like you're talking.,1,1
130,U: I am data scientist. You? S: her 3rd birthday is at disney land . her brother will have the same do you have any hobbies ?,1,1
131,U: Are you trying to make a joke? S: My drink is following me.,1,1
132,"U: Tell me, what's my favourite colour? S: Not...not really?",0,1
133,"U: you know, they are last-century styleDESKTOP! S: No - actually I'm not -",1,1
134,U: Well it's so cold [SMILING FACE WITH OPEN MOUTH AND COLD SWEAT] S: Tell me a little about your life in russia.,0,1
135,"U: Makes sense. Dragons? S: yes , i do . i am a single parent .",1,0
136,U: much better thanks S: Are you sure? How's your knee?,0,0
137,"U: nursing home. that's awesome :) S: nursing home, funny you :)",0,0
138,U: why? its not joke S: What a joke,1,1
139,U: what? S: I am a high school student and I am a high school teacher  what is a show cat?,1,1
140,U: How old are you and your husband S: He is a retired cop.,0,1
141,U: you like cook ? S: do you play video games ?,1,0
142,"U: nope, what about you? S: You know him?",1,1
143,U: You always sure aren't you? S: i have not tried that . i am sure it is .,1,1
144,"U: you just told me the other thing but ok S: I have never been to college, but I do not have a job",1,1
145,U: Maybe sorry a typo S: I do not know what that is. Please explain!,1,1
146,U: do I need to review them? S: These are issue papers.,1,1
147,U: What do you want to do? S: I know it wasn't the plan. But if you don't fight...,1,1
148,"U: whats sports do like to watch ? S: i am a homebody , and i watch a lot of games .",1,1
149,U: what is your favorite tv program? S: I like to watch sports on tv,0,1
150,U: i love to drink wine and dance in the moonlight. S: Do you have any hobbies ?,0,0
151,U: Okay. How old are you? S: No.,0,1
152,U: today i delivered three :) S: sometimes it feels like i live at work . how many babies have you delivered ?,0,0
153,U: eating is something i do when i'm bored S: I like to go out to eat,0,1
154,U: of course I am not able to look at you S: Danny wasn't even looking.,1,1
155,"U: a lot S: Yeah, we've totally grown up since then.",0,0
156,U: Okay. How old are you? S: No I am not. I am a little older than I am.,1,1
157,"U: i am student, what else can you do in high school? S: I am a teacher, what do you do?",0,1
158,"U: Hi! My name is Kate, I'm 56
And what's your name? S: I have a cat named radar S: Hi! What is your name? [FACE WITH TEARS OF JOY] [FACE WITH TEARS OF JOY]",1,1
159,"U: me too, i’m building a robot actually S: I love computers. I am a big fan of them.",0,0
160,"U: Hi S: I do not drink alcohol, I drink a lot of coffee S: Hello... Danny",0,1
161,U: What is your name? S: I am not. I am a woman.,0,1
162,"U: is country S: it is my parents they're suing me so i come home for the holidays .. Also, try to guess: my favorite music ...",1,0
163,"U: I think i like red, whera are you working? S: i love purple you know its royal [GRINNING FACE WITH SMILING EYES]",1,1
164,U: forget about me  what would you like to do S: I am a stay at home mom. How about you?,1,0
165,U: i’ve been depressed lately S: Hi how are you doing?,0,0
166,"U: what do you do for a living S: I am 10, and I am a single mom.",1,1
167,U: fine thankS S: I am doing well. How are you ?,0,0
168,U: Me is a nigga S: Is you a nigga?,1,1
169,"U: What are you doing just right now S: Hi. Oh, hi. Hi.",0,0
170,"U: Nice. I don't have children. I want to rule the world S: oh that's sweet , i'm 33 years old . i have a daughter that's 7 .",0,1
171,U: i work for our local supermarket. S: i have never given them much thought . what about you ? [SPEAK-NO-EVIL MONKEY],1,0
172,"U: Football sounds nice. Do you watch World Cup? S: I do, but i like to play football, but i like to play with friends.",0,1
173,"U: That must be excellent! S: parents farms, funny you :)",0,0
174,U: of course i love female S: care to chat with an older female that loves frank sinatra ?,0,1
175,"U: They are great. I like their music S: You lost? S: Hi! Howdy! [SMILING FACE WITH SUNGLASSES].
Cut a long story short: favorite band is aerosmith",1,1
176,U: The one we are at... S: What party?,1,1
177,"U: ha S: insurance business, funny you :)",0,0
178,"U: Do you like clouds? S: of movie is documentary, funny you :)",0,0
179,U: you what haha S: you are not answering my question i can report you . how was your day ? [SPEAK-NO-EVIL MONKEY],1,1
180,U: I like playing basketball S: I teach math and i love to play with my students.,0,0
181,"U: where do you live S: I am a nurse, i work as a nurse",0,1
182,U: Good. Very interesting. S: I am a carpenter.,1,0
183,"U: oh my god. for sure. harry potter is the best S: harry potter is awesome ! ! , i really like the books",1,0
184,U: that is great S: i like to make people laugh . everyone wants to be my friend,0,0
185,U: and ur favorite band S: Good.,1,0
186,"U: I am from Mars S: i am from florida , how about you ?",0,0
187,"U: Do you like kayaking? S: I am so much, i am just getting ready to go to the gym",1,1
188,U: why sorry S: I am sorry to hear that. i am a huge fan of the game.,1,1
189,"U: Good as well, listening to my favourite band S: I am doing great, how are you?",0,0
190,U: yes S: Does ``it ''still refer to detention center?,1,1
191,U: yeah me too S: I wish i could go out and get some time.,1,1
192,U: i am a student right now. what about you ? S: what do you do for a living ?,1,0
193,"U: Mine are brown. No, I don't like being barefooted. S: blonde . and you ? do you like being barefooted ?",0,0
194,"U: and? S: i write short stories even though i've to ask a prompting app for help. Also, try to guess: i've light skin ...",1,1
195,U: How are you? S: Uh-huh. I've heard so many wonderful things about you.,0,0
196,U: No. I don't have any pets S: I have a dog. Do you have any pets?,0,0
197,U: i always listen rock music while i am working S: I listen to music while I am not working.,1,1
198,"U: i am too S: yes , i'm a people person . do you ?",0,0
199,U: I am in high school and I do not have a card S: You have a card? Aren't you in high school?,1,1
200,U: you are kinda crazy S: Actually... I do not have any idea!!!,1,1
201,U: Must be tough S: shoot i eat vegetables at work . 9 5 is my schedule [ROBOT FACE],0,0
